accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
psaJ	42	44	46	40	40	46	40	40	34	40	38	42	36	46	42	50	36	38	40	42	52	0	42	44	38	38	42	48	46	44	50	52	54	54	50	46	44	50	44	44	38	42	40	42	44	42	40	44	38	38	36	36	28	38	38	38	46	46	44	44	42	46	42	48	44	40	50	38	40	36	40	28	28	32	30	32	32	26	32	26	32	32	32	32	32	30	30	32	32	30	30	18	30	26	28	22	30	28	20	26
psaM	36	40	36	38	36	32	38	38	36	36	36	42	32	42	40	44	32	36	34	38	46	42	0	42	36	32	38	44	46	38	48	44	46	48	48	42	48	40	36	40	38	36	36	34	38	36	40	40	28	34	34	34	30	36	32	36	40	36	34	36	34	40	40	40	36	38	44	42	36	36	34	26	26	24	24	30	24	24	26	26	28	26	30	24	30	26	26	26	28	26	26	18	26	26	24	20	24	24	10	20
psbA	36	42	40	36	32	38	32	36	34	32	36	44	28	42	36	44	30	36	38	42	54	44	42	0	36	38	42	50	50	44	42	46	56	52	54	48	48	46	44	40	32	44	38	42	48	36	42	38	26	34	34	34	28	32	36	32	34	44	40	40	38	32	32	44	38	36	56	30	36	36	36	22	22	28	26	22	28	28	26	28	26	26	22	26	34	24	22	26	32	26	24	14	24	24	26	22	24	20	16	20
psbB	20	22	16	22	24	36	22	22	20	16	22	32	20	22	30	50	30	10	16	34	52	38	36	36	0	18	18	36	48	34	42	48	50	54	52	46	46	42	22	28	32	28	22	28	32	30	34	36	26	18	14	16	10	24	20	18	34	32	22	20	22	32	26	28	16	16	54	28	22	22	12	6	10	16	14	22	10	12	14	18	14	18	18	12	24	18	18	18	22	16	16	8	22	14	18	10	16	14	10	14
psbC	26	26	18	28	22	32	30	30	26	18	28	32	28	22	26	46	28	18	22	32	48	38	32	38	18	0	22	36	44	30	38	46	42	46	48	40	40	38	20	24	32	26	26	30	32	32	34	34	32	18	10	20	12	30	16	28	34	32	16	26	26	30	30	24	20	18	46	24	22	26	18	10	14	16	14	20	12	12	14	16	14	14	16	8	22	16	18	16	20	16	14	6	16	10	16	8	12	12	10	16
psbD	26	24	28	30	24	40	26	26	30	22	30	34	22	28	34	50	30	16	20	38	56	42	38	42	18	22	0	42	48	34	46	50	48	54	50	48	46	44	22	24	38	26	18	30	34	24	32	34	26	24	18	20	14	28	24	30	32	28	24	30	26	32	28	32	20	20	56	30	22	28	20	12	16	18	16	26	16	10	18	24	12	20	22	16	24	22	24	18	18	20	18	8	26	20	22	14	20	12	10	18
psbE	44	40	42	46	42	48	34	38	34	34	42	44	34	34	46	52	40	36	40	42	56	48	44	50	36	36	42	0	52	38	52	58	62	58	50	50	50	54	44	46	46	46	44	44	50	38	44	48	40	34	36	38	30	42	30	42	50	46	46	36	38	42	44	46	42	32	58	42	40	30	38	22	24	32	26	34	26	20	30	32	24	30	26	28	32	30	28	30	22	32	22	10	32	24	30	22	28	18	10	24
psbF	50	50	52	50	46	48	48	48	46	46	48	44	40	50	50	54	42	48	46	48	58	46	46	50	48	44	48	52	0	50	54	56	64	56	54	54	50	56	50	50	48	50	48	48	50	46	44	50	40	44	44	44	34	48	44	48	50	50	50	50	48	50	48	50	50	48	58	44	46	46	48	34	32	34	32	36	34	30	36	36	34	36	36	36	36	36	34	36	36	36	34	28	36	34	34	30	34	34	22	30
psbH	36	38	38	36	34	40	32	30	30	32	34	42	28	34	40	52	28	32	32	34	58	44	38	44	34	30	34	38	50	0	54	54	52	54	52	42	46	48	28	34	36	30	30	32	46	32	36	36	30	30	34	28	24	36	28	40	46	40	32	28	40	32	36	42	30	30	54	34	30	30	34	20	20	22	20	28	24	20	24	22	24	20	26	18	32	22	22	22	28	22	20	14	24	20	20	14	18	20	12	18
psbI	46	44	48	44	42	52	46	46	40	40	44	46	32	44	38	48	40	40	44	48	52	50	48	42	42	38	46	52	54	54	0	54	56	52	54	52	50	48	46	46	40	52	48	46	52	40	46	48	36	40	40	42	32	46	36	44	42	48	44	50	46	46	44	48	48	42	62	42	42	42	40	24	24	30	30	30	24	26	30	28	24	30	28	26	32	30	26	30	32	30	28	18	30	24	28	22	24	30	20	24
